userName: test, Timestamp: Sun, 12 Sep 2021 18:42:19 -0500; is success: true
userName: d, Timestamp: Sun, 12 Sep 2021 18:44:37 -0500; is success: false
userName: test, Timestamp: Sun, 12 Sep 2021 18:47:29 -0500; is success: true
test,Mon, 13 Sep 2021 00:27:54 -0500,true
test,Mon, 13 Sep 2021 00:29:30 -0500,true
test,Mon, 13 Sep 2021 00:32:12 -0500,true
test,Mon, 13 Sep 2021 00:34:28 -0500,true
test,Mon, 13 Sep 2021 00:35:43 -0500,true
test,Mon, 13 Sep 2021 00:46:55 -0500,true
test,Mon, 13 Sep 2021 00:52:31 -0500,true
test,Mon, 13 Sep 2021 00:57:04 -0500,true
test,Mon, 13 Sep 2021 01:00:45 -0500,true
test,Mon, 13 Sep 2021 01:02:43 -0500,true
test,Mon, 13 Sep 2021 01:04:41 -0500,true
test,Mon, 13 Sep 2021 01:07:07 -0500,true
test,Mon, 13 Sep 2021 01:17:14 -0500,true
test,Mon, 13 Sep 2021 01:19:35 -0500,false
test,Mon, 13 Sep 2021 01:20:09 -0500,false
test,Mon, 13 Sep 2021 01:21:29 -0500,true
te,Mon, 13 Sep 2021 01:21:45 -0500,false
d,Mon, 13 Sep 2021 01:24:49 -0500,false
test,Mon, 13 Sep 2021 01:24:58 -0500,true
test,Mon, 13 Sep 2021 01:50:54 -0500,true
test,Mon, 13 Sep 2021 01:52:22 -0500,true
test,Mon, 13 Sep 2021 01:53:30 -0500,true
test,Mon, 13 Sep 2021 14:01:39 -0500,true
test,Mon, 13 Sep 2021 14:13:08 -0500,true
test,Mon, 13 Sep 2021 14:14:16 -0500,true
test,Mon, 13 Sep 2021 14:49:06 -0500,false
test,Mon, 13 Sep 2021 14:49:09 -0500,true
test,Mon, 13 Sep 2021 15:00:28 -0500,true
test,Mon, 13 Sep 2021 15:01:20 -0500,true
test,Mon, 13 Sep 2021 15:06:40 -0500,true
test,Mon, 13 Sep 2021 15:09:52 -0500,true
test,Mon, 13 Sep 2021 15:18:54 -0500,true
test,Mon, 13 Sep 2021 15:20:52 -0500,true
test,Mon, 13 Sep 2021 15:22:35 -0500,true
test,Mon, 13 Sep 2021 15:24:18 -0500,true
test,Mon, 13 Sep 2021 15:25:24 -0500,true
test,Mon, 13 Sep 2021 15:30:05 -0500,true
test,Mon, 13 Sep 2021 15:35:47 -0500,true
test,Mon, 13 Sep 2021 15:41:28 -0500,true
test,Mon, 13 Sep 2021 15:46:43 -0500,true
test,Mon, 13 Sep 2021 15:49:35 -0500,true
test,Mon, 13 Sep 2021 15:50:24 -0500,true
test,Mon, 13 Sep 2021 15:53:45 -0500,true
test,Mon, 13 Sep 2021 15:54:14 -0500,true
test,Mon, 13 Sep 2021 15:54:52 -0500,true
test,Mon, 13 Sep 2021 15:56:19 -0500,true
test,Mon, 13 Sep 2021 16:02:06 -0500,true
test,Mon, 13 Sep 2021 16:03:34 -0500,true
test,Mon, 13 Sep 2021 16:04:51 -0500,true
test,Mon, 13 Sep 2021 16:06:15 -0500,true
test,Mon, 13 Sep 2021 16:08:27 -0500,true
test,Mon, 13 Sep 2021 16:10:41 -0500,true
test,Mon, 13 Sep 2021 16:37:01 -0500,false
test,Mon, 13 Sep 2021 16:37:35 -0500,false
test,Mon, 13 Sep 2021 17:34:24 -0500,true
test,Mon, 13 Sep 2021 17:38:52 -0500,true
test,Mon, 13 Sep 2021 17:45:07 -0500,true
test,Mon, 13 Sep 2021 17:46:53 -0500,true
test,Mon, 13 Sep 2021 17:48:37 -0500,true
test,Mon, 13 Sep 2021 17:50:57 -0500,true
test,Mon, 13 Sep 2021 18:15:58 -0500,true
test,Mon, 13 Sep 2021 21:13:53 -0500,true
test,Mon, 13 Sep 2021 21:29:02 -0500,false
test,Mon, 13 Sep 2021 21:29:05 -0500,true
test,Mon, 13 Sep 2021 21:35:20 -0500,true
test,Thu, 16 Sep 2021 00:18:50 -0500,true
test,Thu, 16 Sep 2021 13:16:32 -0500,true
test,Thu, 16 Sep 2021 13:19:52 -0500,true
test,Thu, 16 Sep 2021 13:24:20 -0500,true
test,Thu, 16 Sep 2021 13:27:09 -0500,true
test,Thu, 16 Sep 2021 13:30:52 -0500,true
test,Thu, 16 Sep 2021 13:46:54 -0500,true
test,Thu, 16 Sep 2021 13:50:22 -0500,true
test,Thu, 16 Sep 2021 13:53:03 -0500,true
test,Thu, 16 Sep 2021 13:54:38 -0500,true
test,Thu, 16 Sep 2021 11:59:25 -0700,true
test,Thu, 16 Sep 2021 12:15:40 -0700,true
test,Thu, 16 Sep 2021 12:19:13 -0700,true
test,Thu, 16 Sep 2021 14:25:27 -0500,true
test,Thu, 16 Sep 2021 14:29:20 -0500,true
test,Thu, 16 Sep 2021 14:30:11 -0500,true
test,Thu, 16 Sep 2021 14:34:09 -0500,true
test,Thu, 16 Sep 2021 14:35:05 -0500,true
test,Thu, 16 Sep 2021 14:35:32 -0500,true
test,Thu, 16 Sep 2021 14:37:26 -0500,true
test,Thu, 16 Sep 2021 14:46:18 -0500,true
test,Thu, 16 Sep 2021 14:50:39 -0500,true
